i,seed_i,m,c1,c2,c3,c4,c5,c6,loglik,penalty,penlik,truelik,truepen,truepenlike
15,14543,4,7.265956188661355,22.511377665606744,44.800011193864854,59.58189719849323,0,0,616.3366099181574,42.67368230682975,659.0102922249871,614.8032066266837,42.65500765430911,657.4582142809928
16,15543,4,8.82008941040173,20.444030081099235,42.921013519623635,58.006461983556875,0,0,618.170691615457,42.58030043491034,660.7509920503674,614.554758431474,42.65500765430911,657.2097660857831
17,16543,4,7.851478763643637,20.109845160809027,42.66033719167203,56.47768575641407,0,0,613.0778679953555,42.57672707064038,655.6545950659959,612.3795374889988,42.65500765430911,655.0345451433079
18,17543,4,7.90183851322732,21.759386492259758,42.60722097189986,58.84763729807776,0,0,623.337237612965,42.65330353081479,665.9905411437799,622.4528701232867,42.65500765430911,665.1078777775958
19,18543,4,7.6448436353990035,22.18258052267049,45.3352890001624,56.96842824984692,0,0,632.9056905528594,42.57620205130826,675.4818926041676,635.8636985693867,42.65500765430911,678.5187062236957
20,19543,4,9.750758174837225,21.341162816399265,44.742020016467386,61.29723149754448,0,0,635.1639483387879,42.59621436247787,677.7601627012658,631.3722214335489,42.65500765430911,674.027229087858
21,20543,4,9.293665713409498,20.48725129127525,43.65700763186278,59.78120936514633,0,0,625.4450313803098,42.57783129409005,668.0228626743999,625.3312491277729,42.65500765430911,667.986256782082
22,21543,4,9.864524750478033,21.666072704170436,45.37162697420325,59.20543605115497,0,0,618.1251862926442,42.55078049394052,660.6759667865847,614.7043172639435,42.65500765430911,657.3593249182526
23,22543,4,7.957746630787712,21.392309268772284,41.819509114067706,64.37908219445148,0,0,626.6365006338215,42.72429052851147,669.3607911623329,624.5982880461052,42.65500765430911,667.2532957004142
24,23543,4,6.470230066525989,19.795367434825657,46.175191936830025,59.468891376313174,0,0,623.0908192355969,42.64439135601735,665.7352105916142,619.1332402938841,42.65500765430911,661.7882479481932
25,24543,4,8.269993140107879,22.281498646640227,45.82238873899914,58.43406676091068,0,0,614.7677058931412,42.59383522411841,657.3615411172595,616.5581824869399,42.65500765430911,659.213190141249
26,25543,4,7.8272970710798475,22.250619324196883,42.48693995814482,60.53037262101385,0,0,628.77226414691,42.68686556150216,671.4591297084121,628.9370383534842,42.65500765430911,671.5920460077933
27,26543,4,9.371444828604247,21.695691518828955,46.140994312127944,59.897115032466395,0,0,629.1553411427848,42.582628426699955,671.7379695694847,629.3205180708912,42.65500765430911,671.9755257252003
28,27543,4,7.708156061585032,22.748738240104487,40.68212706113847,61.5273847181722,0,0,651.5628323587847,42.704789575839484,694.2676219346242,652.6290966479104,42.65500765430911,695.2841043022195
29,28543,4,7.412799287210244,21.3842137895274,45.0517796273091,61.88427355360141,0,0,644.8133233430422,42.7004194272471,687.5137427702892,643.2011615860371,42.65500765430911,685.8561692403462
30,29543,4,8.464938884681526,21.234197049124724,45.74051666328981,58.67747705778084,0,0,644.8722127136494,42.57625222878487,687.4484649424343,645.6309419788608,42.65500765430911,688.2859496331699
31,30543,4,9.06534040062257,22.099933752505414,44.060848708877714,59.50562974177704,0,0,599.2601390491883,42.62029030510841,641.8804293542967,596.3991660116056,42.65500765430911,639.0541736659147
32,31543,4,7.601634794258972,20.941261382024113,45.907613243241364,58.517244759868916,0,0,624.4947020106453,42.60413992625146,667.0988419368967,625.0495099485547,42.65500765430911,667.7045176028638
33,32543,4,7.925420232598608,21.867719664762934,40.52295975206423,58.27547919929446,0,0,614.6722658200705,42.65572484305268,657.3279906631232,612.9027707609655,42.65500765430911,655.5577784152746
34,33543,4,6.414573146439079,21.864562877937605,42.5101502540128,59.719791159833804,0,0,645.3352460029223,42.724057375301975,688.0593033782243,644.0045560170427,42.65500765430911,686.6595636713517
35,34543,4,7.273715543307339,20.085837357776825,45.89722434593953,59.74803288684164,0,0,624.9095259416516,42.62125343341599,667.5307793750676,625.0679542444432,42.65500765430911,667.7229618987523
36,35543,4,8.966274234938737,19.650754438424322,45.35750974339579,57.714888839678714,0,0,632.5242900035265,42.495406379596766,675.0196963831232,632.3153218106387,42.65500765430911,674.9703294649478
37,36543,4,10.754246281942486,22.79991256431101,44.39765533802622,62.12257790125958,0,0,622.1904194128576,42.60232739648019,664.7927468093378,623.6255139114916,42.65500765430911,666.2805215658007
38,37543,4,6.9963838660441375,21.593941910641917,43.56938197051587,60.500638951062285,0,0,645.9517213490284,42.70002421566085,688.6517455646892,644.4155635967932,42.65500765430911,687.0705712511023
39,38543,4,10.372771011861017,20.229910038561908,43.39071640808075,61.13495487379443,0,0,625.056360286929,42.55731314352571,667.6136734304547,620.7109950026437,42.65500765430911,663.3660026569528
40,39543,4,9.8914588163977,19.677529733023448,44.709986150875906,60.06744343282088,0,0,639.6977541508082,42.52017587083456,682.2179300216428,640.5351699745006,42.65500765430911,683.1901776288097
41,40543,4,7.940530261612038,20.624530052302035,44.951338850249236,58.48560086774767,0,0,602.3415645787784,42.60361936399726,644.9451839427757,600.6793413175589,42.65500765430911,643.3343489718679
42,41543,4,11.779013655717735,20.785542209240646,44.539486446679796,59.049097869830824,0,0,613.7475398666941,42.44043873120384,656.1879785978979,615.2055573607353,42.65500765430911,657.8605650150444
